Investigador,institution,ciudad
Nelson Marin Latorre Arias,Universidad Nacional Abierta y a Distancia,medellin
Nelson Marin Latorre Arias,UNIVERSIDAD AUTîNOMA DE MANIZALEZ,medellin
Nelson Marin Latorre Arias,UNIVERSIDAD NACIONAL DE COLOMBIA,medellin
Santiago Rua Perez,Universidad Pontificia Bolivariana,medellin
Santiago Rua Perez,Maritime Research Institute Netherlands MARIN,medellin
Santiago Rua Perez,Universidad de Medell’n,medellin
Santiago Rua Perez,University of Lisbon,medellin
Santiago Rua Perez,Universidad EIA Envigado,medellin
Santiago Rua Perez,Universidad Nacional Abierta y a Distancia,medellin
Guillermo Giraldo Vargas,Universidad Nacional Abierta y a Distancia,medellin
Guillermo Giraldo Vargas,Universidad Catolica Luis Amigo,medellin
Angelica Rocio Bonilla Porras,University of Antioquia (UdeA),medellin
Angelica Rocio Bonilla Porras,Universidad del Tolima,medellin
Angelica Rocio Bonilla Porras,Universidad de Antioquia,medellin
Claudia Elena Gonzalez Cardenas,Universidad Nacional Abierta y a Distancia,medellin
Carolina Aristizabal Ciro,University of Antioquia (UdeA),medellin
Carolina Aristizabal Ciro,University Jaume I,medellin
Carolina Aristizabal Ciro,CARTIF Centro Tecnologico,medellin
Carolina Aristizabal Ciro,Universidad de La Sabana,medellin
Carolina Aristizabal Ciro,Policl’nica Metropolitana,medellin
Carolina Aristizabal Ciro,Universidad Nacional Abierta y a Distancia.,medellin
Carolina Aristizabal Ciro,Universidad de Cantabria,medellin
Gloria Maria Doria Herrera,Universidad Nacional de Colombia,medellin
Gloria Maria Doria Herrera,Universidad Nacional Abierta y a Distancia,medellin
Gloria Maria Doria Herrera,Universidad de Antioquia,medellin
Diego Mauricio Hernandez Fernandez,Universidad Nacional Abierta y a Distancia,medellin
Diego Mauricio Hernandez Fernandez,Universidad de Antioquia,medellin
Kevin Alberto Berthi Mantilla,Universidad Nacional Abierta y a Distancia,medellin
Kevin Alberto Berthi Mantilla,University of Antioquia,medellin
Hector Raul Galindo Alvarez,Chinese University of Hong Kong,medellin
Hector Raul Galindo Alvarez,Guangdong Academy of Medical Sciences,medellin
Hector Raul Galindo Alvarez,Riga East Clinical UniversityÐLatvian Oncology Center,medellin
Hector Raul Galindo Alvarez,Riga East Clinical UniversityÐLatvian Oncology Center,medellin
Hector Raul Galindo Alvarez,Istanbul University Cerrahpasa Medical Faculty,medellin
Hector Raul Galindo Alvarez,Instituto do Cancer do Estado de Sao Paulo,medellin
Hector Raul Galindo Alvarez,Siriraj Hospital,medellin
Hector Raul Galindo Alvarez,Russian Cancer Research Center,medellin
Hector Raul Galindo Alvarez,Dnipropetrovsk Medical Academy,medellin
Hector Raul Galindo Alvarez,Nippon Medical School Hospital,medellin
Hector Raul Galindo Alvarez,Sylvester Comprehensive Cancer Center at the University of Miami,medellin
Hector Raul Galindo Alvarez,Universidad Pontificia Bolivariana,medellin
Hector Raul Galindo Alvarez,Universidad de Los Andes,medellin
Hector Raul Galindo Alvarez,Rutgers University,medellin
Hector Raul Galindo Alvarez,Pontificia Universidad Cat—lica de Chile,medellin
Hector Raul Galindo Alvarez,Universidad de Chile,medellin
Hector Raul Galindo Alvarez,Advanced Center for Chronic Diseases,medellin
Hector Raul Galindo Alvarez,Dalian Medical University,medellin
Hector Raul Galindo Alvarez,"Center of Excellence in Precision Medicine, Macul",medellin
Hector Raul Galindo Alvarez,Universidad San Sebasti‡n,medellin
Hector Raul Galindo Alvarez,Universidad del Desarrollo,medellin
Hector Raul Galindo Alvarez,Oncologia Medica Centro de Cancer.,medellin
Hector Raul Galindo Alvarez,Memorial Sloan Kettering Cancer Center,medellin
Hector Raul Galindo Alvarez,National Healthcare Medical Center ÒSiglo XXI,medellin
Hector Raul Galindo Alvarez,"Instituto Alexander Fleming, Asociacion Argentina de Oncologia Clinica",medellin
Hector Raul Galindo Alvarez,Instituto Oncologico Nacional (ION) de Panama,medellin
Martha Isabel Alvarez Romero,"Universidad Nacional Abierta y a Distancia, UNAD",medellin
Martha Isabel Alvarez Romero,Universidad de las Fuerzas Armadas,medellin
Martha Isabel Alvarez Romero,Universidad de la Repœblica (Uruguay),medellin
Martha Isabel Alvarez Romero,Universidad Nacional de las Artes,medellin
Martha Isabel Alvarez Romero,Universidad Santiago de Cali,medellin
Martha Isabel Alvarez Romero,Universidad de Buenos Aires,medellin
Martha Isabel Alvarez Romero,Universidad Nacional de San Luis,medellin
Martha Isabel Alvarez Romero,Universidad Uniclaretiana,medellin
Bibiana Patricia Rojas Arango,"Universidad Nacional Abierta y a Distancia, UNAD",medellin
Bibiana Patricia Rojas Arango,Universidad de Antioquia.,medellin
Bibiana Patricia Rojas Arango,Universidad de Manizales,medellin
Jhon Fernando Sanchez Alvarez,Universidad Nacional de Colombia,medellin
Jhon Fernando Sanchez Alvarez,Universidad Nacional Abierta y a Distancia,medellin
Leidy Johanna Gomez Sampedro,University of Valencia,medellin
Leidy Johanna Gomez Sampedro,University of Antioquia,medellin
Gabriel Jaime Rivera Leon,Universidad Nacional de Colombia,medellin
Martha Catalina Ospina Hernandez,Universidad Francisco de Paula Santander Oca–a,medellin
Martha Catalina Ospina Hernandez,Universidad de Pamplona,medellin
Martha Catalina Ospina Hernandez,Universidad Nacional Abierta y a Distancia,medellin
Martha Catalina Ospina Hernandez,Universidad del Cauca,medellin
Martha Catalina Ospina Hernandez,Universidad Nacional de Rosario,medellin
John Fredy Velez Diaz,Universidad Pedagogica y Tecnologica de Colombia,medellin
John Fredy Velez Diaz,Universidad Nacional Abierta y a Distancia,medellin
John Fredy Velez Diaz,Fundacion Universitaria Catolica del Norte - FUCN.,medellin
John Fredy Velez Diaz,Universidad del Tolima,medellin
Laura Marcela Elles Ardila,Universidad Nacional Abierta y a Distancia,medellin
Maria Isabel Benavides Suarez,Hospital Universitario Ginecobstetrico Mariana Grajales,medellin
Maria Isabel Benavides Suarez,Servicio de Obstetricia y Ginecolog’a. Policl’nico Docente Esperanza,medellin
Maria Isabel Benavides Suarez,Universidad Medica de Villa Clara,medellin
Maria Isabel Benavides Suarez,Servicio de Urologia. H. Da Costa. Burela. Lugo,medellin
Nelson Augusto Serna Porras,Universidad Nacional Abierta y a Distancia UNAD,medellin
Paul Esteban Pherez Perrony,Universidade Federal de Lavras,medellin
Paul Esteban Pherez Perrony,Graz University of Technology,medellin
Paul Esteban Pherez Perrony,"Vittia Group, S‹o Joaquim da Barra, Brazil",medellin
