researcher,unidad_academica,CENTRO,ZONA,id_scholar,h_index,vinculacion,horas_dedicacion,url,grupo,inicio_vinculacion,fin_vinculacion,posgrade,clasification,articulos,capitulos,libros,softwares,innovaciones,trabajos_dirigidos
RAMON ANTONIO MOSQUERA MENA,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",TURBO,OCCIDENTE,mLUbfo0AAAAJ,2,Integrante,; 4; ; 4,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000275689,GRUPO DE INVESTIGACION CIAB; CAZAO,2011-08-01; 2014-05-01, Actual,Doctorado,Investigador Asociado (I),6; 2,13; 4,0; 0,0; 0,0; 0,14; 3
JAIME LUIS FORTICH FORTICH,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",CARTAGENA (BOLIVAR),CARIBE,NA,NA,Integrante,10; 10; 10; 10; 10; 10; 10; 10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001364685,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO; ZOOBIOS; GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO; ZOOBIOS,2017-02-01; 2018-02-01, 2019/12,Maestría/Magister,Sin clasificar,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0
JORGE ANTONIO GIRON MENDIETA,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,8,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000024610,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2016-02-01, Actual,Pregrado/Universitario,Sin clasificar,0,0,0,0,0,4
JORGE ELIECER HERNANDEZ PEREZ,VICERRECTORIA ACADEMICA Y DE INVESTIGACION,* SEDE NACIONAL JOSE CELESTINO MUTIS,SEDE NACIONAL JOSE CELESTINO MUTIS,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001391391,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2017-02-01, Actual,Especialización,Sin clasificar,0,0,0,0,0,0
JULIETH CRISTINA MENDOZA FORERO,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE; ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",* SEDE NACIONAL JOSE CELESTINO MUTIS; FUSAGASUGA,SEDE NACIONAL JOSE CELESTINO MUTIS; CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,15,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000492698,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2017-02-01, Actual,Maestría/Magister,Sin clasificar,0,2,0,0,0,6
MAIKEL SUAREZ RIVERO,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",(BOGOTA Cra 30) JOSE ACEVEDO Y GÓMEZ,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0000182862,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2018-03-01, Actual,Maestría/Magister,Investigador Junior (IJ),0,0,0,0,0,0
MYRIAM JANETH ORTEGA TORRES,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",* SEDE NACIONAL JOSE CELESTINO MUTIS,SEDE NACIONAL JOSE CELESTINO MUTIS,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001457692,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2017-02-01, Actual,Maestría/Magister,Investigador Junior (IJ),2,4,1,0,0,3
OMAR ENRIQUE PELAEZ MARTINEZ,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",GIRARDOT,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001411771,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2019-04-01, Actual,Maestría/Magister,Sin clasificar,0,0,0,0,0,0
OMAR ENRIQUE TRUJILLO ROMERO,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",VALLEDUPAR,CARIBE,NA,NA,Integrante,10; 10; 10; 10; 10; 10; 10; 10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001411123,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO; ZOOBIOS; GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO; ZOOBIOS,2017-02-01; 2017-02-01, 2019/12,Maestría/Magister,Sin clasificar,0; 1; 0; 1,0; 4; 0; 4,0; 0; 0; 0,0; 0; 0; 0,0; 0; 0; 0,0; 7; 0; 7
RUTH AMANDA ACERO CAMELO,"ESCUELA DE CIENCIAS AGRICOLAS, PECUARIAS Y DEL MEDIO AMBIENTE",FACATATIVA,CENTRO BOGOTA Y CUNDINAMARCA,NA,NA,Integrante,10,https://scienti.minciencias.gov.co/cvlac/visualizador/generarCurriculoCv.do?cod_rh=0001359299,GRUPO INTERINSTITUCIONAL DE INVESTIGACION EN CIENCIAS AGROPECUARIAS FORESTALES Y AGROINDUSTRIALES DEL TROPICO COLOLMBIANO,2020-02-01, Actual,Doctorado,Sin clasificar,0,0,0,0,0,0
